start,eind,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
21/10/2019 08:30:00,21/10/2019 09:00:00,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt
21/10/2019 09:00:00,21/10/2019 09:30:00,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen
21/10/2019 09:30:00,21/10/2019 10:00:00,JOTI,JOTI,JOTI,JOTI,Radio,Radio,Trefbalvaganza,Trefbalvaganza,Kinetische bom,Kinetische bom,Kinetische bom,Kinetische bom,Lego op afstand,Lego op afstand,JOTA,JOTA,JOTA,TV,TV,TV,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's
21/10/2019 10:00:00,21/10/2019 10:30:00,JOTI,JOTI,JOTI,JOTI,Trefbalvaganza,Trefbalvaganza,Radio,Radio,Kinetische bom,Kinetische bom,Kinetische bom,Kinetische bom,Bamboepionieren,Bamboepionieren,TV,TV,TV,JOTA,JOTA,JOTA,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's
21/10/2019 10:30:00,21/10/2019 11:00:00,Bosgolf,Bosgolf,Bosgolf,Bosgolf,JOTI,JOTI,JOTI,JOTI,JOTA,JOTA,JOTA,TV,TV,TV,Lego op afstand,Lego op afstand,Radio,Radio,Trefbalvaganza,Trefbalvaganza,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's
21/10/2019 11:00:00,21/10/2019 11:30:00,Bosgolf,Bosgolf,Bosgolf,Bosgolf,JOTI,JOTI,JOTI,JOTI,TV,TV,TV,JOTA,JOTA,JOTA,Bamboepionieren,Bamboepionieren,Trefbalvaganza,Trefbalvaganza,Radio,Radio,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's
21/10/2019 11:30:00,21/10/2019 12:00:00,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's
21/10/2019 12:00:00,21/10/2019 12:30:00,Radio,Radio,Levend speedcup,Levend speedcup,Bosgolf,Bosgolf,Bosgolf,Bosgolf,JOTI,JOTI,JOTI,JOTI,Kinetische bom,Kinetische bom,Kinetische bom,Kinetische bom,Lego op afstand,Lego op afstand,Bamboepionieren,Bamboepionieren,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's
21/10/2019 12:30:00,21/10/2019 13:00:00,Levend speedcup,Levend speedcup,Radio,Radio,Bosgolf,Bosgolf,Bosgolf,Bosgolf,JOTI,JOTI,JOTI,JOTI,Kinetische bom,Kinetische bom,Kinetische bom,Kinetische bom,Bamboepionieren,Bamboepionieren,Lego op afstand,Lego op afstand,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's
21/10/2019 13:00:00,21/10/2019 13:30:00,Lego op afstand,Lego op afstand,Lego op afstand,Lego op afstand,Bamboepionieren,Bamboepionieren,Bamboepionieren,Bamboepionieren,Radio,Radio,Levend speedcup,Levend speedcup,JOTI,JOTI,JOTI,JOTI,Bosgolf,Bosgolf,Bosgolf,Bosgolf,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's
21/10/2019 13:30:00,21/10/2019 14:00:00,Bamboepionieren,Bamboepionieren,Bamboepionieren,Bamboepionieren,Lego op afstand,Lego op afstand,Lego op afstand,Lego op afstand,Levend speedcup,Levend speedcup,Radio,Radio,JOTI,JOTI,JOTI,JOTI,Bosgolf,Bosgolf,Bosgolf,Bosgolf,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's
21/10/2019 14:00:00,21/10/2019 14:30:00,Trefbalvaganza,Trefbalvaganza,Trefbalvaganza,Trefbalvaganza,Kinetische bom,Kinetische bom,Kinetische bom,Kinetische bom,Lego op afstand,Lego op afstand,Bamboepionieren,Bamboepionieren,Radio,Radio,Levend speedcup,Levend speedcup,JOTI,JOTI,JOTI,JOTI,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's
21/10/2019 14:30:00,21/10/2019 15:00:00,Trefbalvaganza,Trefbalvaganza,Trefbalvaganza,Trefbalvaganza,Kinetische bom,Kinetische bom,Kinetische bom,Kinetische bom,Bamboepionieren,Bamboepionieren,Lego op afstand,Lego op afstand,Levend speedcup,Levend speedcup,Radio,Radio,JOTI,JOTI,JOTI,JOTI,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's,Rowans + sherpa's
21/10/2019 15:00:00,21/10/2019 15:15:00,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting
