,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
22-10-2017 00:00:00,22-10-2017 08:00:00,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen
22-10-2017 08:00:00,22-10-2017 08:30:00,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan
22-10-2017 08:30:00,22-10-2017 09:00:00,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt
22-10-2017 09:00:00,22-10-2017 09:30:00,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen
22-10-2017 09:30:00,22-10-2017 10:00:00,JOTA,JOTA,JOTA,Octopus,Octopus,Octopus,Radio,Radio,Radio,TV,TV,TV,JOTI,JOTI,JOTI,JOTI,JOTI,JOTI,JOTI,Instagramspel,Instagramspel,Instagramspel,Instagramspel,Instagramspel,Instagramspel,Instagramspel,Instagramspel,Instagramspel
22-10-2017 10:00:00,22-10-2017 10:30:00,Octopus,Octopus,Octopus,JOTA,JOTA,JOTA,TV,TV,TV,Radio,Radio,Radio,JOTI,JOTI,JOTI,JOTI,JOTI,JOTI,JOTI,Instagramspel,Instagramspel,Instagramspel,Instagramspel,Instagramspel,Instagramspel,Instagramspel,Instagramspel,Instagramspel
22-10-2017 10:30:00,22-10-2017 11:00:00,Instagramspel,Instagramspel,Instagramspel,Instagramspel,Instagramspel,Instagramspel,JOTI,JOTI,JOTI,JOTI,JOTI,JOTI,Radio,Radio,Radio,TV,TV,TV,TV,JOTA,JOTA,JOTA,JOTA,Octopus,Octopus,Octopus,Octopus,Octopus
22-10-2017 11:00:00,22-10-2017 11:30:00,Instagramspel,Instagramspel,Instagramspel,Instagramspel,Instagramspel,Instagramspel,JOTI,JOTI,JOTI,JOTI,JOTI,JOTI,TV,TV,TV,Radio,Radio,Radio,Radio,Octopus,Octopus,Octopus,Octopus,JOTA,JOTA,JOTA,JOTA,JOTA
22-10-2017 11:30:00,22-10-2017 12:00:00,Lunch + tickets workshops,Lunch + tickets workshops,Lunch + tickets workshops,Lunch + tickets workshops,Lunch + tickets workshops,Lunch + tickets workshops,Lunch + tickets workshops,Lunch + tickets workshops,Lunch + tickets workshops,Lunch + tickets workshops,Lunch + tickets workshops,Lunch + tickets workshops,Lunch + tickets workshops,Lunch + tickets workshops,Lunch + tickets workshops,Lunch + tickets workshops,Lunch + tickets workshops,Lunch + tickets workshops,Lunch + tickets workshops,Lunch + tickets workshops,Lunch + tickets workshops,Lunch + tickets workshops,Lunch + tickets workshops,Lunch + tickets workshops,Lunch + tickets workshops,Lunch + tickets workshops,Lunch + tickets workshops,Lunch + tickets workshops
22-10-2017 12:00:00,22-10-2017 12:50:00,Workshop 1,Workshop 1,Workshop 1,Workshop 1,Workshop 1,Workshop 1,Workshop 1,Workshop 1,Workshop 1,Workshop 1,Workshop 1,Workshop 1,Workshop 1,Workshop 1,Workshop 1,Workshop 1,Workshop 1,Workshop 1,Workshop 1,Workshop 1,Workshop 1,Workshop 1,Workshop 1,Workshop 1,Workshop 1,Workshop 1,Workshop 1,Workshop 1
22-10-2017 12:50:00,22-10-2017 13:40:00,Workshop 2,Workshop 2,Workshop 2,Workshop 2,Workshop 2,Workshop 2,Workshop 2,Workshop 2,Workshop 2,Workshop 2,Workshop 2,Workshop 2,Workshop 2,Workshop 2,Workshop 2,Workshop 2,Workshop 2,Workshop 2,Workshop 2,Workshop 2,Workshop 2,Workshop 2,Workshop 2,Workshop 2,Workshop 2,Workshop 2,Workshop 2,Workshop 2
22-10-2017 13:40:00,22-10-2017 14:30:00,Workshop 3,Workshop 3,Workshop 3,Workshop 3,Workshop 3,Workshop 3,Workshop 3,Workshop 3,Workshop 3,Workshop 3,Workshop 3,Workshop 3,Workshop 3,Workshop 3,Workshop 3,Workshop 3,Workshop 3,Workshop 3,Workshop 3,Workshop 3,Workshop 3,Workshop 3,Workshop 3,Workshop 3,Workshop 3,Workshop 3,Workshop 3,Workshop 3
22-10-2017 14:30:00,22-10-2017 15:00:00,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting
